ADF effect strength initiating heroin with Rx OUD	Base survival probability H OD relative to Rx	Base survival probability Rx OD	Developing HUD rate no Rx OUD 	Developing HUD rate with Rx OUD 	Developing Rx OUD rate 	Fentanyl effect on base survival max relative to H	Fentanyl effect on OD rate H max	Fraction Nx kits to H users 	Heroin availability strength developing HUD	Heroin availability strength initiating NDHU no Rx	Heroin availability strength net quit NDHU	Initial stock correction[RXM]	Initial stock correction[NDH]	Initial stock correction[OUB]	Initial stock correction[OUM]	Initial stock correction[OUV]	Initial stock correction[OUT]	Initial stock correction[OUR]	Initial stock correction[OUS]	Initial stock correction[OHB]	Initial stock correction[OHM]	Initial stock correction[OHV]	Initial stock correction[OHT]	Initial stock correction[OHR]	Initial stock correction[OHS]	Initial stock correction[HUB]	Initial stock correction[HUM]	Initial stock correction[HUV]	Initial stock correction[HUT]	Initial stock correction[HUR]	Initial stock correction[HUS]	Initiating heroin no Rx base 	Initiating Rx misuse diverted base 	Initiation rate heroin with Rx misuse 	Initiation rate heroin with Rx OUD relative to Rx misuse	Initiation rate Rx misuse own Rx 	Net quit rate heroin with Rx misuse 	Net quit rate heroin with Rx OUD 	Net quit rate NDHU 	Net quit rate Rx misuse	NSDUH misuse redefinition fixed effect	Nx kit distribution efficiency	Overdose rate base HUD	Overdose rate NDHU relative to HUD	Overdose rate base Rx misuse	Overdose rate base Rx OUD	Overdose rate synth baseline	Perceived risk strength initiating heroin with Rx use	Perceived risk strength initiating NDHU no Rx	Perceived risk strength initiating Rx misuse diverted	Perceived risk strength initiating Rx misuse own Rx	Perceived risk strength net quit heroin with Rx OUD	Perceived risk strength net quit NDHU	Perceived risk strength net quit NDHU with Rx	Perceived risk strength net quit Rx misuse	Relapse rate HUD	Relapse rate Rx OUD relative to HUD	Remission rate Rx OUD relative to HUD	Rx availability strength developing Rx OUD	Rx availability strength initiating Rx misuse	Rx availability strength net quit Rx misuse	Rx vs H availability strength developing HUD with Rx OUD	Rx vs H availability strength initiating heroin with Rx OUD	Rx vs H availability strength initiating NDHU with Rx	Social influence strength developing HUD	Social influence strength developing Rx OUD	Social influence strength initiating heroin with Rx OUD	Social influence strength initiating NDHU no Rx	Social influence strength initiating NDHU with Rx	Social influence strength initiating Rx misuse	Time to stabilize remission	Tx seeking rate Rx OUD no H total
0.52010048	0.97107197	0.97480741	0.12306077	0.8353174999999999	0.028510158	0.61285241	2.0413713	0.92316328	0.028507829	0.0077997675	1.2893914	1.1697541	1.1941873	1.1953921	0.9030777	0.97899175	1.1726898	0.80896307	0.98429394	1.0567614	1.1371126	0.88566408	1.1314852	1.1008983	0.8583341999999998	0.83926452	1.2	1.101347	0.80609993	1.0606948	0.85105237	117696.25	1849716.1	0.018385223	3.5363807	0.038659194	0.01	0.038346707	0.5	0.16240529999999995	0.43188463	0.00042473804	0.13664228	0.25044025	0.0048709056	0.26433327	0.0052424621	0.99551293	0.33589066	0.61390222	0.75772052	0.049856807	1e-06	0.3904973	0.84257228	0.14923058	0.57919082	1.3510653	1.2373608	0.34502341	1.6926918000000002	1.01376	0.019256441000000003	1.0407461	1e-06	0.075168603	1.9694149	0.28177658	1.3494548000000002	0.69506118	12.583541	0.89857508
0.057706416	0.97817668	0.97380067	0.058782718	0.75153115	0.020536755	0.69243499	2.0462402	0.94327651	0.11662938	0.001226461	1.3861928	1.1696022	1.1885518999999998	0.8	0.93307509	0.92641908	1.0236248	1.1598796999999998	0.87619146	0.83731697	0.88502688	1.1614163999999998	0.94734007	0.91398707	0.85020272	1.1942118999999998	1.2	0.91364483	0.81267778	1.0093962	1.1799643999999998	115226.97	1933798.8	0.015693918	3.9153135	0.036185925	0.10420638	0.014624593	0.41391252	0.14571710000000002	0.5	0.00038318401	0.15841414	0.25	0.0099746847	0.23691368	0.0065581552000000005	0.94016111	0.19054883	0.68684551	0.72897925	0.22853115	0.0048459676	0.054619580999999987	1.025312	0.24142755	0.98925148	1.4289426	1.8554521	0.25900214	2.0	0.95582283	0.0066591517	1.0959829	0.12390798	0.14613377	1.9271549	0.1419404	1.3994783000000002	0.85808735	14.613804	0.43857374
0.023939786	0.98131124	0.97633191	0.071306173	0.71543968	0.021791401	0.71815125	2.0307298	0.94951077	0.069357378	0.046116500000000005	1.367019	1.1925666	1.1756751	0.90122903	1.0076631	1.0810938	1.137773	1.0347925	0.8	0.93632286	1.0899339	0.98241936	1.1795209	1.1374825000000002	0.96660925	1.1645556	1.1413802	0.91181313	0.80736241	0.9796878	1.0338691	112027.28	2051705.6	0.016211028	3.611744	0.035455015	0.039457356	0.048054499	0.48467107	0.14815743	0.45203378	0.00036052634	0.17777174	0.25902576	0.001	0.29308716	0.0070604016	0.88028025	0.29598161	0.96961708	0.61769177	0.17360456	0.012521909	0.17559015	0.93277946	0.23741454	0.90693324	1.2876708	1.5706982	0.98625287	1.6437206999999998	1.3919725	1e-06	0.95040672	0.14080745	0.037595269	1.972141	0.2217909	1.291689	0.50344197	12.075618	0.41767397
0.17651011	0.98590167	0.96917039	0.089051216	0.70348347	0.023395435	0.70067228	2.0174605	0.93163334	1e-06	0.0013877386	1.0754803	1.1349438	1.1619723999999998	1.1782233999999998	1.0425267	0.80543814	1.1301736	1.1868324	0.85072055	1.111118	1.2	1.1457358999999998	1.1204136999999998	1.1805796	0.85061324	0.94481002	1.1881699	0.90995865	0.82826211	0.92057512	1.1045771	116914.35	1857658.1	0.016168189	3.9204368	0.040144573	0.01	0.051380905	0.47927692	0.17497105	0.49517209	0.00041400064	0.17519072	0.25457367	0.0048159312	0.21020458	0.0066469427	1.1120589	0.25499951	0.61720103	0.86062481	0.48658186	0.0012526396	0.19536485	0.8623630999999999	0.19785539	0.619971	1.2513416000000002	1.6317887	0.11067332	1.9643923	1.0965747	0.21953158	1.3702213	0.019194836	0.058764508	2.0	0.15610991	1.5274415	0.95143081	15.369528	0.52175669
0.09896623	0.98208659	0.97542973	0.059097124	0.79057511	0.022982156	0.68659298	2.0032565	0.91675599	0.17526085	0.12036971	1.1314688999999998	1.1828072	1.1216127	0.84506187	1.0379751	1.1108395	1.1739493	1.0922455	0.86902744	0.84402601	1.0665439	0.83534178	0.98470506	0.92164936	1.035156	1.1739369	1.1681165	0.87322706	0.81466191	1.0171161	0.96739264	109696.09	2037933.6	0.01605371	3.7538669	0.035725682	0.15513432	0.046813507	0.35325193	0.19989886	0.40900749	0.0004091704600000001	0.16185398	0.28629285	0.010059876	0.23678757	0.0064137783	1.1069619	0.36377888	0.82528271	0.68957555	0.055592125	0.0085448739	1e-06	0.62488276	0.36519776	0.29026441	1.0198319	1.7449822	0.66858935	1.4767495000000002	0.93686624	0.11403138	0.98664471	0.036213927	0.021655715	1.996434	0.32324163	1.6313146	0.58006519	12.383825	0.35341116
0.20143478	0.98398683	0.97317411	0.05	0.70226799	0.024686357000000003	0.73812467	2.0098734	0.90412301	0.11497977	0.014827153	1.3046485	1.2	1.1584242	0.90734871	0.87506711	1.1138028	1.0937161	1.1312665000000002	1.1479387	0.90338346	1.1255457	0.93303362	1.0005954	1.084634	0.88678953	1.0115659	1.175569	0.95061144	0.86345671	0.87413161	1.1448424	114176.4	1916351.5	0.015469558	3.8434133	0.038340943	0.11596837	0.014411958999999997	0.42164703	0.16961506	0.42044069	0.00035267602	0.18615417	0.25125504	0.002453203	0.25422463	0.0074669485	0.94329776	0.26934980000000003	0.69638231	0.78911097	0.20403675	0.001407465	1e-06	0.6867411999999999	0.25105229999999995	0.36761864	1.0191247	1.4558966	0.59840506	1.4540173	0.92254667	1e-06	0.92033616	0.33858246	0.049469557	2.0	0.21209836	1.4463	0.82499802	15.908954	0.74497687
0.24186472	0.97046101	0.97200896	0.10683338	0.78869541	0.023853887	0.58654245	2.0827616	0.9230245	1e-06	0.053948636	1.4015425	1.1957263	1.1997023999999998	1.1268191	1.0931425	0.96948715	1.1957941	1.1141344	0.81365685	1.1324062	1.1036218	1.1242443000000002	0.88620113	0.914709	1.0886615	0.963772	1.1472941	1.0584133	0.8	0.97411256	1.0308345	119328.15	2057839.8	0.016652654	3.5204178999999995	0.031528484	0.064957595	0.018265176	0.42132858	0.16306642	0.47497139	0.0003393296700000001	0.12594059	0.25295198	0.0063549535	0.22097822	0.005	0.95141714	0.28882029	0.95817752	0.68629943	0.030489229	0.038450391	0.079129432	1.0450391	0.15810738	0.549262	1.0634591999999998	1.0030135	0.8533063	1.6351121000000002	1.0649302	0.046020952	1.0918146	0.084848575	0.28455868	1.9890415	0.14658609	1.5216331	0.45464041	11.353928	0.46770615
0.36490665	0.96564685	0.97443974	0.057942397	0.77274323	0.021016432	0.58381126	2.0	0.94725651	0.41763193	0.037358671	1.2814533	1.2	1.1841377	0.86986351	1.0797042	0.9770431	1.1500968	1.0228963	0.8	0.87304719	1.1998928999999998	1.1844133999999995	1.0804885	1.0339303	0.97422957	0.86102201	1.164247	1.0735136	0.83252391	1.1586341999999998	1.0925418	120273.78	1959884.0	0.016578954	3.8101694	0.031769842	0.10041895	0.020910881	0.4321495	0.17393134	0.49792263	0.00038506663	0.13005973	0.25	0.0020912043	0.27781701	0.005208676	0.966556	0.26634503	0.6207449	0.61375728	0.24810334	0.06233959	1e-06	0.96793025	0.21385808	0.6985654	1.2668808	1.6187987	0.1310106	1.9017483	1.6766258	0.065856287	1.1452382	0.020496399	0.08521193699999999	2.0	0.10294749	1.52682	0.64085885	15.749754	0.34508381
0.054347893	0.9853934	0.96850374	0.051437150999999987	0.77899002	0.024087547	0.70122491	2.1246113	0.92089485	0.19039151	0.025202525	1.4046586	1.1820547	1.1534927	0.86163701	0.90722479	0.81443603	1.1589586	0.8	1.1729856	0.85004146	1.0322278	0.87066215	1.026272	0.8192128000000001	0.8545071	1.0638159	1.1603931	0.8	0.80307413	1.0905615	0.8020994	114563.66	1865089.7	0.017123043	3.3248976000000003	0.030275052	0.06193877900000001	0.01022795	0.5	0.15399499	0.46794645	0.00042874474	0.15411311	0.25180055	0.0043494172	0.20925471	0.0065526794	1.0065681	0.19473631	0.56589421	0.60571804	0.5	0.053071684	0.022894451	0.91998605	0.5	0.34316913	1.192744	1.7480333	0.22953259	1.6244907	1.2823615	1e-06	1.2761389	0.0023312432000000003	1e-06	1.9902867	0.14740373	1.368423	0.76245744	8.9650519	0.55452426
0.30727756	0.9680675	0.97350381	0.053814917	0.76958578	0.024764281000000003	0.61267249	2.0511575	0.94058499	0.19778857	0.0097922343	0.96832386	1.1692635	1.192224	1.1890838	0.92393736	1.1311992	1.1305211000000002	1.1477335	0.88846171	0.95942079	1.004506	1.0502892	0.90356305	1.1225647	0.91492525	1.1292494	1.1803963	1.0609003	0.8632138	0.96398088	1.0723268	115010.4	1916761.3	0.016204535	3.6241078	0.041619494	0.01	0.011924036	0.5	0.14901813	0.48988258	0.00040469826	0.13914153	0.25	0.006483390699999999	0.231021	0.0051370499	0.89575674	0.073609245	0.7754149	1.1111637	0.39528556	1e-06	0.5	0.95691398	0.2034611	0.67811569	1.0448669	1.3665787	0.64611759	1.7585433999999998	1.0270826	0.03000706	0.90732182	0.15775143	0.043732518	2.0	1e-06	1.3576339	0.77050428	12.249536	0.88716515
