ADF effect strength initiating heroin with Rx OUD	Base survival probability H OD relative to Rx	Base survival probability Rx OD	Developing HUD rate no Rx OUD 	Developing HUD rate with Rx OUD 	Developing Rx OUD rate 	Fentanyl effect on base survival max relative to H	Fentanyl effect on OD rate H max	Fraction Nx kits to H users 	Heroin availability strength developing HUD	Heroin availability strength initiating NDHU no Rx	Heroin availability strength net quit NDHU	Initial stock correction[RXM]	Initial stock correction[NDH]	Initial stock correction[OUB]	Initial stock correction[OUM]	Initial stock correction[OUV]	Initial stock correction[OUT]	Initial stock correction[OUR]	Initial stock correction[OUS]	Initial stock correction[OHB]	Initial stock correction[OHM]	Initial stock correction[OHV]	Initial stock correction[OHT]	Initial stock correction[OHR]	Initial stock correction[OHS]	Initial stock correction[HUB]	Initial stock correction[HUM]	Initial stock correction[HUV]	Initial stock correction[HUT]	Initial stock correction[HUR]	Initial stock correction[HUS]	Initiating heroin no Rx base 	Initiating Rx misuse diverted base 	Initiation rate heroin with Rx misuse 	Initiation rate heroin with Rx OUD relative to Rx misuse	Initiation rate Rx misuse own Rx 	Net quit rate heroin with Rx misuse 	Net quit rate heroin with Rx OUD 	Net quit rate NDHU 	Net quit rate Rx misuse	NSDUH misuse redefinition fixed effect	Nx kit distribution efficiency	Overdose rate base HUD	Overdose rate NDHU relative to HUD	Overdose rate base Rx misuse	Overdose rate base Rx OUD	Overdose rate synth baseline	Perceived risk strength initiating heroin with Rx use	Perceived risk strength initiating NDHU no Rx	Perceived risk strength initiating Rx misuse diverted	Perceived risk strength initiating Rx misuse own Rx	Perceived risk strength net quit heroin with Rx OUD	Perceived risk strength net quit NDHU	Perceived risk strength net quit NDHU with Rx	Perceived risk strength net quit Rx misuse	Relapse rate HUD	Relapse rate Rx OUD relative to HUD	Remission rate HUD no MOUD Tx	Remission rate Rx OUD relative to HUD	Rx availability strength developing Rx OUD	Rx availability strength initiating Rx misuse	Rx availability strength net quit Rx misuse	Rx vs H availability strength developing HUD with Rx OUD	Rx vs H availability strength initiating heroin with Rx OUD	Rx vs H availability strength initiating NDHU with Rx	Social influence strength developing HUD	Social influence strength developing Rx OUD	Social influence strength initiating heroin with Rx OUD	Social influence strength initiating NDHU no Rx	Social influence strength initiating NDHU with Rx	Social influence strength initiating Rx misuse	Tx seeking rate Rx OUD no H total
0.010319193	0.98262721	0.9742582	0.16676123	0.61558901	0.05723945900000001	0.68181839	2.036791	0.94624775	0.063900666	0.016566825	1.6556759	1.191537	1.1965839	1.134774	1.2	0.81284206	1.1093729	1.1728946000000002	0.80721662	0.83208019	0.8	1.0700883	1.1612558000000002	0.89821127	0.8585166999999999	1.0053459	1.1969598999999995	1.1138329	0.80359955	1.1469074	1.1396497	123168.36	1836195.8	0.016532978	3.849609	0.040486094	0.01	0.01108597	0.47776664	0.11753113	0.44982663	0.00034541967000000005	0.15690764	0.25053188	0.001	0.26239659	0.0059296479	1.0915113	0.16702569	0.52040264	0.77182229	0.15238865	0.015353358	0.10441479	0.81150609	0.45944905	0.25065946	0.13591879999999998	1.9486964	1.0158994	0.22059697	1.9962383	1.2869572	0.13525352	0.97381706	0.0046443277	0.024591863	1.9838654	0.032177091	1.6383705	0.93757533	0.77347976
0.073914908	0.97089334	0.97479884	0.14499018	0.67134585	0.043044422	0.59464628	2.0457723000000003	0.93835269	0.10458889999999997	0.023979949	1.7803464	1.1253155	1.1618906	1.1205823	0.96752264	1.0579856	1.0985551000000002	1.0792749	0.83013583	1.0147942	0.8	0.8	0.98941765	0.88337712	1.0450209	1.0706361	1.1602188999999998	0.91089886	0.80750931	1.1675866	0.89827587	120909.69	2038574.2	0.014384608	4.1496763	0.037110466	0.033931184	0.04869872	0.43554499	0.11519152	0.45641978	0.00038681492	0.12972348	0.27672631	0.0022465446	0.27276411	0.0050573066	0.81075722	0.26464634	0.731325	0.69186327	0.26367945	0.067903453	0.14528437	0.99517937	0.3477278	0.25000492	0.10334632	1.6175725	1.0905018	0.62179648	1.9071167	1.0658078000000002	0.066849996	0.77898219	0.054506879	0.033140069	1.768127	0.087510344	1.5124245	0.5660321	0.65683916
0.78672341	0.98890841	0.96873493	0.23502062	0.68243163	0.036327359	0.62188236	2.0076576	0.84456219	0.03263312	0.066412707	1.8767633	1.180275	1.1982081	0.86324196	0.85286707	0.97907325	1.1249649	0.8	1.1022403	0.84042345	1.0141459000000002	0.85239692	1.1871601	1.2	1.2	0.8	1.1677025	1.0619379999999998	0.83555481	1.2	1.2	124689.07	1885329.3	0.017225857	3.4994729	0.038944342	0.01	0.014835655	0.39734478	0.15928225	0.48991544	0.00049857324	0.15851459	0.30200190000000005	0.00306645	0.2129621	0.005398581800000001	0.90857258	0.31491687	0.78591259	0.91398036	0.07582203900000001	1e-06	0.4275060000000001	0.83730089	0.01	1.0	0.063597838	1.7524703	1.1564781000000002	0.89634615	1.9517784	2.0	0.22997193	0.939222	0.0093762551	0.11870977	1.9723535	0.1140798	1.4144381	0.62208503	1.0
0.52578864	0.98079847	0.9752864	0.11458829	0.8400694	0.028494427000000006	0.65649335	2.0024371	0.91519014	0.10825879	0.017867334	1.9153315	1.1332838	1.1986542	1.0467834	1.0216818	1.0113788	1.1422828	0.96175496	0.91416574	0.8	0.95151286	0.96263083	1.0649526000000002	0.87170569	0.93951299	1.1166682	1.1726078000000002	1.1582315	0.80310322	0.98848828	1.1026268999999995	120444.27	1951227.9	0.015807948	4.0699294	0.031247252000000007	0.067216181	0.019786784	0.43793901	0.12213863	0.46296148	0.00042096903	0.16001456	0.3308395	0.0051152256	0.27171232	0.0058866915	1.0391882	0.46016679	0.76723757	0.59455184	0.24318233	0.041469854	0.024584571	1.1690466	0.24335824	0.49108954	0.082611447	1.0655198	0.95781517	0.46825131	1.9221941	0.60472914	0.023685227000000003	1.0900104	0.083853335	0.25468322	2.0	0.40576902	1.5348572	0.65513604	0.56218268
0.32197833	0.98041454	0.97322407	0.16531993	0.79569921	0.029577022	0.6749367	2.0022724	0.9238198	0.11179373	0.0097874663	1.8522386	1.1508245	1.1929423	1.0909582	1.089275	1.0092208	1.1891473	0.95662974	1.0075143	0.83225672	1.1932729	0.91007055	1.1381461000000002	1.2	1.0637348999999998	0.8465040999999999	1.1271118	1.0247712	0.80843818	0.97131382	1.1808851	123933.07	1935424.3	0.016016246	3.8604321	0.03265225	0.01	0.012279461	0.47866131	0.13640729	0.4827079000000001	0.00040740215	0.15367552	0.25867268	0.0031318336	0.25563637	0.006288021	0.95059702	0.27779970000000004	0.79271066	0.73002161	0.47630622	0.047997678	0.12570703	0.9738935	0.13863847	0.62054063	0.062148532	1.8938959	0.39298415	0.79234959	1.656389	0.96272626	0.0042046843	0.94270314	0.025480931	0.66681435	1.9966435	0.08588026300000001	1.501188	0.52559204	0.70077185
1e-06	0.9829417	0.9742742	0.12499567	0.71763658	0.034314694	0.65981044	2.0120334	0.94914502	0.014199611	0.0090299387	1.9562087	1.1797826	1.1809543	1.1950052	0.93909611	0.98472722	1.2	1.1985003	1.002217	0.93457484	1.1619103000000002	1.1904885	1.1801681	1.1058127	0.99727175	1.0145242	1.1425956	0.8	0.8	1.0663764	1.1440974	117248.19	1951876.0	0.016551898	3.7059574	0.03798305	0.08422698599999999	0.010705462	0.36966317	0.16084848	0.47326311	0.0005077703299999999	0.16041291	0.29880476	0.0017543048000000002	0.27235018	0.0058949272	0.98381142	0.26220336	0.75019799	0.8517562	0.43096124	0.1132998	0.18832888	0.90010636	0.37863143	0.27591226	0.096731268	1.975477	1e-06	0.68031391	1.9520817	1.430023	0.053338787	0.89848806	0.017346167	0.93518942	1.9109068	0.15825999	1.5292556000000002	0.52823228	0.83658559
0.29110122	0.97704313	0.97731788	0.14699007	0.77537415	0.036037575	0.61999336	2.0028678	0.95	0.070596348	0.022702313	1.3427418	1.1868956	1.1891998	0.86767868	1.1599846	1.0107431	1.1318252	1.0539128	1.1198828	0.89028863	1.1403264	1.0506401	1.1412428999999995	1.1078155	1.0311988	1.0887107	1.1856198999999998	1.1341843	0.83632825	0.90563687	1.1332666	119942.65	1821470.4	0.016347366000000002	3.7894188	0.040414562	0.031982477	0.018262423	0.39378297	0.15645037	0.38820508	0.00045393626	0.14635387	0.25	0.0027006958	0.30007995	0.0053333013	0.99426605	0.24277327	0.49310108	0.73694122	0.12221948	1e-06	0.12690762	0.67093501	0.29631547	0.59578112	0.10091458	2.0	1.0560905	1e-06	1.734976	1.1066212	0.027172051000000003	1.0259113000000002	0.00834708	0.27560443	2.0	0.15784133	1.4931882	0.98361046	0.66205201
0.24804968	0.97903572	0.97581383	0.24769308	0.73669517	0.033469984	0.6216114	2.0015483	0.93896667	0.065468787	0.019840662	1.8162254	1.2	1.195667	0.83645071	1.100239	0.99415011	1.1970078000000002	1.1099534	1.0708163	0.82821465	1.1462378	1.1135816	1.1056932	1.1173729	0.82401185	0.89925806	1.1567535	1.0754118	0.80879217	1.158189	0.96494933	121865.35	1940726.0	0.016430681000000003	3.6588623	0.035325019	0.01	0.021090003	0.34942094	0.15336761	0.47449755	0.00048274581	0.15189124	0.25943728	0.0021415023	0.29834996	0.0054411764	0.89958636	0.30565708	0.96849696	0.68670477	0.10373096	3.2014897e-05	0.18925929	1.0274209	0.08179122700000001	0.88689075	0.10003812	1.5565719	0.39076384	1.0762733999999998	1.9176139	1.6052341	0.14464524	1.0963753	0.0057932407	0.64891753	1.988112	0.21180419	1.5245511	0.51142432	0.63511454
0.47950915	0.98413662	0.96967977	0.21157312	0.66283042	0.034704849	0.60907629	2.0	0.91472969	0.055332861	0.013358908	1.856843	1.2	1.1873776000000005	0.87684095	0.94861874	1.0361635	1.1195524	0.94559553	1.1515905	1.1407794	1.1468853	0.94210201	1.0434916	1.0011199	1.09502	0.8	1.1994675	0.80202075	0.80953828	1.0092556	1.1454511	122323.01	1936142.7	0.016316754	3.4845573	0.038602082	0.01	0.016691759	0.41369413	0.15927542	0.46232698	0.00037262617	0.13857347	0.26654501	0.0034483606	0.22277443	0.005324693	0.87418896	0.27528456	0.61901987	0.80845266	0.11259803	0.02395478	0.37246796	0.71170308	0.047997159000000005	0.89991042	0.06	1.9854671	0.99024747	0.37742945	1.905914	1.452505	0.055135067	0.9223579	0.048967341	0.23704570000000005	1.981809	0.10679402	1.4339991	0.78214791	0.8931208
0.37315711	0.98042723	0.97422802	0.15078954	0.72359723	0.031316249	0.66246488	2.0025939	0.94489321	0.22125037	0.03745939	1.7552457	1.1684039	1.1958913	0.90661396	0.85325158	1.0312185	1.1641375	0.8	1.0328575999999998	0.88327578	1.2	0.92326156	0.9726143	0.8031058000000001	1.2	0.94312056	1.1459346	0.91246918	0.83153485	0.8125455	1.2	118615.93	1926162.8	0.016818299	3.5849886	0.038441024	0.042837307000000005	0.022136111	0.41217553	0.14702799	0.4405944000000001	0.0003583877	0.15833357	0.2611836	0.0012030748	0.28072052	0.005817545899999999	0.923222	0.24351972	0.67581011	0.81498833	0.1566763	0.019647537	1e-06	0.98209459	0.092636548	0.54927713	0.06	1.8005586	0.23466469	0.62545299	2.0	1.3324701	0.092873473	1.1286978	0.093714598	0.61241194	1.9741873	0.1552723	1.34569	0.53249644	0.37768331
